"Column 1","Column 2","Column 3","Column 4","Column 5"
"kisengura","kisengura","","",""
"kisengwa","kisengwa","","",""
"kisenia","kisenia","","",""
"kisenlele","kisenlele","","",""
"kisentu","kisentu","","",""
"kiseny","kiseny","","",""
"kisenyi","kisenyi","","",""
"kisenzele","kisenzele","","",""
"kiserdo","kiserdo","","",""
"kiserdopuszta","kiserdopuszta","","",""
"kisesa","kisesa","","",""
"kisfalud","kisfalud","","",""
"kisfaludpuszta","kisfaludpuszta","","",""
"kisfastanya","kisfastanya","","",""
"kisgec","kisgec","","",""
"kisgyep","kisgyep","","",""
"kish","kish","","",""
"kisha","kisha","","",""
"kishali","kishali","","",""
"kishalom","kishalom","","",""
"kishan","kishan","","",""
"kishanga","kishanga","","",""
"kishanganj","kishanganj","","",""
"kishangarh","kishangarh","","",""
"kishani","kishani","","",""
"kishanpur","kishanpur","","",""
"kishanpura","kishanpura","","",""
"kishar","kishar","","",""
"kishaz","kishaz","","",""
"kishegy","kishegy","","",""
"kishemskoye","kishemskoye","","",""
"kishenge","kishenge","","",""
"kishenyi","kishenyi","","",""
"kishi","kishi","","",""
"kishia","kishia","","",""
"kishia-kambulu","kishia-kambulu","","",""
"kishiale","kishiale","","",""
"kishiba","kishiba","","",""
"kishie","kishie","","",""
"kishiko","kishiko","","",""
"kishinda","kishinda","","",""
"kishingu","kishingu","","",""
"kishishi","kishishi","","",""
"kishk-e nakhud","kishk-e nakhud","","",""
"kishki","kishki","","",""
"kishkino","kishkino","","",""
"kishkinskaya","kishkinskaya","","",""
"kishla","kishla","","",""
"kishlag","kishlag","","",""
"kishlak","kishlak","","",""
"kishlya","kishlya","","",""
"kishololo","kishololo","","",""
"kishombo","kishombo","","",""
"kishonge","kishonge","","",""
"kishoreganj","kishoreganj","","",""
"kishorganj","kishorganj","","",""
"kishorpur","kishorpur","","",""
"kisht aw","kisht aw","","",""
"kishu","kishu","","",""
"kishuihsien","kishuihsien","","",""
"kishungu","kishungu","","",""
"kishwar","kishwar","","",""
"kisi","kisi","","",""
"kisia","kisia","","",""
"kisiale","kisiale","","",""
"kisiama","kisiama","","",""
"kisiele","kisiele","","",""
"kisielele","kisielele","","",""
"kisieta-kikobo","kisieta-kikobo","","",""
"kisik","kisik","","",""
"kisiki","kisiki","","",""
"kisiki kalume","kisiki kalume","","",""
"kisikivi","kisikivi","","",""
"kisikli","kisikli","","",""
"kisikomba-moto","kisikomba-moto","","",""
"kisikya-lunguma","kisikya-lunguma","","",""
"kisimandjoko","kisimandjoko","","",""
"kisimba","kisimba","","",""
"kisinda","kisinda","","",""
"kisinde","kisinde","","",""
"kisindja","kisindja","","",""
"kisinga","kisinga","","",""
"kisir","kisir","","",""
"kisiru","kisiru","","",""
"kisisi","kisisi","","",""
"kisiwa","kisiwa","","",""
"kisiwani","kisiwani","","",""
"kiska","kiska","","",""
"kiskan","kiskan","","",""
"kisker","kisker","","",""
"kiskeresztur","kiskeresztur","","",""
"kis-keszi","kis-keszi","","",""
"kiskoh","kiskoh","","",""
"kiskuria","kiskuria","","",""
"kisla","kisla","","",""
"kislacay","kislacay","","",""
"kislacik","kislacik","","",""
"kislak","kislak","","",""
"kislakoy","kislakoy","","",""
"kislar","kislar","","",""
"kislaya","kislaya","","",""
"kislino","kislino","","",""
"kislinskiy","kislinskiy","","",""
"kislitsa","kislitsa","","",""
"kislitskiy","kislitskiy","","",""
"kurumkan","kurumkan","","",""
"kuhsientsun","kuhsientsun","","",""
"kuhta","kuhta","","",""
"kuhu","kuhu","","",""
"kuhua","kuhua","","",""
"kuhuha","kuhuha","","",""
"kuhungdong","kuhungdong","","",""
"kuhungni","kuhungni","","",""
"kuhweg","kuhweg","","",""
"kuhyang","kuhyang","","",""
"kuhyolli","kuhyolli","","",""
"kuhyon","kuhyon","","",""
"kuhyondong","kuhyondong","","",""
"kuibyshev","kuibyshev","","",""
"kuidindi","kuidindi","","",""
"kuidou","kuidou","","",""
"kuidu","kuidu","","",""
"kuie","kuie","","",""
"kuifeng","kuifeng","","",""
"kuihu","kuihu","","",""
"ku'ik","ku'ik","","",""
"kuikeng","kuikeng","","",""
"kuikka","kuikka","","",""
"kuil","kuil","","",""
"kuila","kuila","","",""
"kuilenburg","kuilenburg","","",""
"kuili","kuili","","",""
"kuilo-mukishi","kuilo-mukishi","","",""
"kuilsrivier","kuilsrivier","","",""
"kuiltong","kuiltong","","",""
"kuimba","kuimba","","",""
"kuin","kuin","","",""
"ku'in","ku'in","","",""
"kuishan","kuishan","","",""
"kuisiai","kuisiai","","",""
"kuisma","kuisma","","",""
"kuitang","kuitang","","",""
"kuito","kuito","","",""
"kuitun","kuitun","","",""
"kuivajarvi","kuivajarvi","","",""
"kuivakangas","kuivakangas","","",""
"kuivala","kuivala","","",""
"kuivaniemi","kuivaniemi","","",""
"kuivasalmi","kuivasalmi","","",""
"kuiyang","kuiyang","","",""
"kuiyong","kuiyong","","",""
"kuja","kuja","","",""
"kujae","kujae","","",""
"kujah","kujah","","",""
"kujala","kujala","","",""
"kujan","kujan","","",""
"kujang","kujang","","",""
"kujangdong","kujangdong","","",""
"kujangni","kujangni","","",""
"kujangto","kujangto","","",""
"kujao","kujao","","",""
"kujar","kujar","","",""
"kujawki","kujawki","","",""
"kujawy","kujawy","","",""
"kuje","kuje","","",""
"kujed","kujed","","",""
"kuji","kuji","","",""
"kujian","kujian","","",""
"kujidong","kujidong","","",""
"kujilli","kujilli","","",""
"kujin","kujin","","",""
"kujiri","kujiri","","",""
"kujnik","kujnik","","",""
"kujo","kujo","","",""
"kujolgol","kujolgol","","",""
"kujolli","kujolli","","",""
"kujom","kujom","","",""
"kujon","kujon","","",""
"kujondong","kujondong","","",""
"kujong","kujong","","",""
"kujongdong","kujongdong","","",""
"kujongni","kujongni","","",""
"kujonni","kujonni","","",""
"kujora","kujora","","",""
"kuju","kuju","","",""
"kujudong","kujudong","","",""
"kujun","kujun","","",""
"kujung","kujung","","",""
"kujur","kujur","","",""
"kuk darreh","kuk darreh","","",""
"kuka","kuka","","",""
"kukab","kukab","","",""
"kukadlo","kukadlo","","",""
"kukah","kukah","","",""
"kukai","kukai","","",""
"kukaj","kukaj","","",""
"kukan","kukan","","",""
"kukana","kukana","","",""
"kukaneh","kukaneh","","",""
"kukang","kukang","","",""
"kukanj","kukanj","","",""
"kukanovka","kukanovka","","",""
"kukap","kukap","","",""
"kukar","kukar","","",""
"kukara","kukara","","",""
"kukarevo","kukarevo","","",""
"kukari","kukari","","",""
"kukarino","kukarino","","",""
"kukarka","kukarka","","",""
"kukarkino","kukarkino","","",""
"kukarskaya","kukarskaya","","",""
"kukary","kukary","","",""
"kukas","kukas","","",""
"kukate","kukate","","",""
"kukavica","kukavica","","",""
"kukavice","kukavice","","",""
"kukawa","kukawa","","",""
"kukay","kukay","","",""
"kukcha","kukcha","","",""
"kukchi","kukchi","","",""
"kukchong","kukchong","","",""
"kuke","kuke","","",""
"kukeh","kukeh","","",""
"kukelevo","kukelevo","","",""
"kuken","kuken","","",""
"kukeng","kukeng","","",""
"kuker","kuker","","",""
"kukes","kukes","","",""
"kukh","kukh","","",""
"kukhan","kukhan","","",""
"kukharevo","kukharevo","","",""
"kukhari","kukhari","","",""
"kukhary","kukhary","","",""
"kukhi","kukhi","","",""
"kukhna","kukhna","","",""
"kukhnadekh","kukhnadekh","","",""
"kukhnakala","kukhnakala","","",""
"kukhnovo","kukhnovo","","",""
"kukhta","kukhta","","",""
"kukhtino","kukhtino","","",""
"kukhty","kukhty","","",""
"kukhwadong","kukhwadong","","",""
"kukhwari","kukhwari","","",""
"kuki","kuki","","",""
"kuki ii","kuki ii","","",""
"kukiang","kukiang","","",""
"kukici","kukici","","",""
"kukil","kukil","","",""
"kukino","kukino","","",""
"kukis","kukis","","",""
"kukiya","kukiya","","",""
"kukka","kukka","","",""
"kukkol","kukkol","","",""
"kukkola","kukkola","","",""
"kukkongni","kukkongni","","",""
"kukku","kukku","","",""
"kukkye","kukkye","","",""
"kukla","kukla","","",""
"kukle","kukle","","",""
"kukli","kukli","","",""
"kuklica","kuklica","","",""
"kuklichi","kuklichi","","",""
"kuklino","kuklino","","",""
"kuklov","kuklov","","",""
"kukly","kukly","","",""
"kuklya","kuklya","","",""
"kukmar","kukmar","","",""
"kuknur","kuknur","","",""
"kuko","kuko","","",""
"kukoki","kukoki","","",""
"kukola","kukola","","",""
"kukolji","kukolji","","",""
"kukolovka","kukolovka","","",""
"kukonharju","kukonharju","","",""
"kukonkyla","kukonkyla","","",""
"kukorevo","kukorevo","","",""
"kukovichi","kukovichi","","",""
"kukovo","kukovo","","",""
"kukow","kukow","","",""
"kukowo","kukowo","","",""
"kukoy","kukoy","","",""
"kukra","kukra","","",""
"kukrike","kukrike","","",""
"kuks","kuks","","",""
"kuksa","kuksa","","",""
"kuksari","kuksari","","",""
"kukshevo","kukshevo","","",""
"kuksil","kuksil","","",""
"kuksongdong","kuksongdong","","",""
"kuksu","kuksu","","",""
"kuksudang","kuksudang","","",""
"kuksugol","kuksugol","","",""
"kuktong","kuktong","","",""
"kuktongni","kuktongni","","",""
"kuku","kuku","","",""
"kukua","kukua","","",""
"kukuan","kukuan","","",""
"kukub","kukub","","",""
"kukuda","kukuda","","",""
"kukue","kukue","","",""
"kukueka","kukueka","","",""
"kukui","kukui","","",""
"kukuk","kukuk","","",""
"kukulan","kukulan","","",""
"kukulewa","kukulewa","","",""
"kukulje","kukulje","","",""
"kukulu","kukulu","","",""
"kukuluk","kukuluk","","",""
"kukun","kukun","","",""
"kukundju","kukundju","","",""
"kukup","kukup","","",""
"kukupu","kukupu","","",""
"kukur","kukur","","",""
"kukuri","kukuri","","",""
"kukurt","kukurt","","",""
"kukurtlu","kukurtlu","","",""
"kukurumahana","kukurumahana","","",""
"kukus","kukus","","",""
"kukusan","kukusan","","",""
"kukushka","kukushka","","",""
"kukushki","kukushki","","",""
"kukushkina","kukushkina","","",""
"kukushkino","kukushkino","","",""
"kukuta","kukuta","","",""
"kukuy","kukuy","","",""
"kukuya","kukuya","","",""
"kukuyeva","kukuyeva","","",""
"kukuyevka","kukuyevka","","",""
"kukuyevo","kukuyevo","","",""
"kukuyka","kukuyka","","",""
"kukuyu","kukuyu","","",""
"kul'","kul'","","",""
"kul tepe","kul tepe","","",""
"kul zard","kul zard","","",""
"kula","kula","","",""
"kulab","kulab","","",""
"kulabad","kulabad","","",""
"kulabi","kulabi","","",""
"kulac","kulac","","",""
"kulachevo","kulachevo","","",""
"kulachi","kulachi","","",""
"kulachiwala","kulachiwala","","",""
"kuladhar","kuladhar","","",""
"kulag","kulag","","",""
"kulagino","kulagino","","",""
"kulah","kulah","","",""
"kulahli","kulahli","","",""
"kulai","kulai","","",""
"kulajo","kulajo","","",""
"kulak","kulak","","",""
"kulaki","kulaki","","",""
"kulakkoy","kulakkoy","","",""
"kulakli","kulakli","","",""
"kulakov","kulakov","","",""
"kulakova","kulakova","","",""
"kulakovik","kulakovik","","",""
"kulakovka","kulakovka","","",""
"kulakovo","kulakovo","","",""
"kulaksiz","kulaksiz","","",""
"kulal","kulal","","",""
"kulala","kulala","","",""
"kulalan","kulalan","","",""
"kulali","kulali","","",""
"kulalisi","kulalisi","","",""
"kulalu","kulalu","","",""
"kulama","kulama","","",""
"kulaman","kulaman","","",""
"kulambugan","kulambugan","","",""
"kulampanga","kulampanga","","",""
"kulan","kulan","","",""
"kulanandapur","kulanandapur","","",""
"kulanda","kulanda","","",""
"kulane","kulane","","",""
"kulang","kulang","","",""
"kulanga","kulanga","","",""
"kulango","kulango","","",""
"kulani","kulani","","",""
"kulankattiwewa","kulankattiwewa","","",""
"kulany","kulany","","",""
"kular","kular","","",""
"kulara","kulara","","",""
"kularan","kularan","","",""
"kularash","kularash","","",""
"kulari","kulari","","",""
"kularyk","kularyk","","",""
"kulash","kulash","","",""
"kulasi","kulasi","","",""
"kulasian","kulasian","","",""
"kulasin","kulasin","","",""
"kulat","kulat","","",""
"kulata","kulata","","",""
"kulatan","kulatan","","",""
"kulatino","kulatino","","",""
"kulattur","kulattur","","",""
"kulawa","kulawa","","",""
"kulaya","kulaya","","",""
"kulayevo","kulayevo","","",""
"kulba","kulba","","",""
"kulbaki","kulbaki","","",""
"kulbakovo","kulbakovo","","",""
"kulbaria","kulbaria","","",""
"kulbawi","kulbawi","","",""
"kulbay","kulbay","","",""
"kulbus","kulbus","","",""
"kulcha","kulcha","","",""
"kulchi","kulchi","","",""
"kulchin","kulchin","","",""
"kulcholli","kulcholli","","",""
"kulchon","kulchon","","",""
"kulchondong","kulchondong","","",""
"kuldan","kuldan","","",""
"kuldar","kuldar","","",""
"kuldi","kuldi","","",""
"kuldino","kuldino","","",""
"kuldo","kuldo","","",""
"kuldun","kuldun","","",""
"kule","kule","","",""
"kule matundu","kule matundu","","",""
"kulebaki","kulebaki","","",""
"kuleberovo","kuleberovo","","",""
"kulebyakino","kulebyakino","","",""
"kuleh","kuleh","","",""
"kuleh sareh","kuleh sareh","","",""
"kulele","kulele","","",""
"kuleli","kuleli","","",""
"kulem","kulem","","",""
"kulema","kulema","","",""
"kulemino","kulemino","","",""
"kuleponge","kuleponge","","",""
"kulepongi","kulepongi","","",""
"kulepongo","kulepongo","","",""
"kules","kules","","",""
"kuleshevka","kuleshevka","","",""
"kuleshevo","kuleshevo","","",""
"kuleshi","kuleshi","","",""
"kuleshovka","kuleshovka","","",""
"kuleshovo","kuleshovo","","",""
"kulesze","kulesze","","",""
"kulet","kulet","","",""
"kuleva","kuleva","","",""
"kulevatovo","kulevatovo","","",""
"kulevcha","kulevcha","","",""
"kulevka","kulevka","","",""
"kulevo","kulevo","","",""
"kulevtsy","kulevtsy","","",""
"kulewa","kulewa","","",""
"kulfalar","kulfalar","","",""
"kulgachi","kulgachi","","",""
"kulgol","kulgol","","",""
"kulhar","kulhar","","",""
"kulhuyuk","kulhuyuk","","",""
"kuli","kuli","","",""
"kuli gaz","kuli gaz","","",""
"kulia","kulia","","",""
"kuliai","kuliai","","",""
"kulian","kulian","","",""
"kuliar","kuliar","","",""
"kuliat","kuliat","","",""
"kulice","kulice","","",""
"kulich","kulich","","",""
"kulichikha","kulichikha","","",""
"kulichka","kulichka","","",""
"kulichki","kulichki","","",""
"kulici","kulici","","",""
"kulidzha","kulidzha","","",""
"kulien","kulien","","",""
"kuliga","kuliga","","",""
"kuligi","kuligi","","",""
"kuligino","kuligino","","",""
"kulij","kulij","","",""
"kokpekti","kokpekti","","",""
"kokpekty","kokpekty","","",""
"kokpinar","kokpinar","","",""
"kokpur","kokpur","","",""
"kokre","kokre","","",""
"kokri","kokri","","",""
"koksal","koksal","","",""
"kpekulu","kpekulu","","",""
"kpele","kpele","","",""
"kpelememe","kpelememe","","",""
"kpelo","kpelo","","",""
"kpeme","kpeme","","",""
"kpere","kpere","","",""
"kpese","kpese","","",""
"kpessi","kpessi","","",""
"kpessou","kpessou","","",""
"kpete","kpete","","",""
"kpetoe","kpetoe","","",""
"kpeve","kpeve","","",""
"kpindi","kpindi","","",""
"kpindi-adala","kpindi-adala","","",""
"kpla","kpla","","",""
"kpodji","kpodji","","",""
"kpogede","kpogede","","",""
"kpogi","kpogi","","",""
"kpoguede","kpoguede","","",""
"kpoki","kpoki","","",""
"kpoko","kpoko","","",""
"kpokpo","kpokpo","","",""
"kpolea","kpolea","","",""
"kpombu","kpombu","","",""
"kpome","kpome","","",""
"kpong","kpong","","",""
"kponou","kponou","","",""
"kpor","kpor","","",""
"kpota","kpota","","",""
"kpoti","kpoti","","",""
"kpoto","kpoto","","",""
"kpotoa","kpotoa","","",""
"kpwala","kpwala","","",""
"kpwele","kpwele","","",""
"kpwetene","kpwetene","","",""
"kpwole","kpwole","","",""
"kpyo","kpyo","","",""
"kraa","kraa","","",""
"kraaiberg","kraaiberg","","",""
"kraaifontein","kraaifontein","","",""
"kraak","kraak","","",""
"kraakstad","kraakstad","","",""
"kraalfontein","kraalfontein","","",""
"kraam","kraam","","",""
"kraan","kraan","","",""
"kraatz","kraatz","","",""
"krabao","krabao","","",""
"krabbe","krabbe","","",""
"krabbenhoek","krabbenhoek","","",""
"krabcice","krabcice","","",""
"krabi","krabi","","",""
"kracak","kracak","","",""
"kracakan","kracakan","","",""
"krach","krach","","",""
"krachi","krachi","","",""
"krachoua","krachoua","","",""
"kradan","kradan","","",""
"kradenan","kradenan","","",""
"kradikhino","kradikhino","","",""
"kraemer","kraemer","","",""
"krafs","krafs","","",""
"kraft","kraft","","",""
"krag","krag","","",""
"kragan","kragan","","",""
"kragelund","kragelund","","",""
"kragholm","kragholm","","",""
"kragilan","kragilan","","",""
"kragon","kragon","","",""
"kragujevac","kragujevac","","",""
"kragulji","kragulji","","",""
"kraguman","kraguman","","",""
"krahenberg","krahenberg","","",""
"krahulci","krahulci","","",""
"krai","krai","","",""
"krain","krain","","",""
"krair","krair","","",""
"kraishte","kraishte","","",""
"kraj","kraj","","",""
"kraja","kraja","","",""
"krajan","krajan","","",""
"krajan atas","krajan atas","","",""
"krajan barat","krajan barat","","",""
"krajan bawah","krajan bawah","","",""
"krajan dua","krajan dua","","",""
"krajan empat","krajan empat","","",""
"krajan kidul","krajan kidul","","",""
"krajan kulon","krajan kulon","","",""
"krajan lama","krajan lama","","",""
"krajan lor","krajan lor","","",""
"krajan satu","krajan satu","","",""
"krajan selatan","krajan selatan","","",""
"krajan tengah","krajan tengah","","",""
"krajan tiga","krajan tiga","","",""
"krajan timur","krajan timur","","",""
"krajan utara","krajan utara","","",""
"krajan wetan","krajan wetan","","",""
"krajcinovici","krajcinovici","","",""
"kraje","kraje","","",""
"krajecin","krajecin","","",""
"krajegan","krajegan","","",""
"krajevi","krajevi","","",""
"krajewo","krajewo","","",""
"krajina","krajina","","",""
"krajisnici","krajisnici","","",""
"krajisnik","krajisnik","","",""
"krajiste","krajiste","","",""
"krajk","krajk","","",""
"krajka","krajka","","",""
"krajke","krajke","","",""
"krajkova","krajkova","","",""
"krajkovici","krajkovici","","",""
"krajkow","krajkow","","",""
"krajkowo","krajkowo","","",""
"krajna","krajna","","",""
"krajnici","krajnici","","",""
"krajno","krajno","","",""
"krajnovici","krajnovici","","",""
"krak","krak","","",""
"kraka","kraka","","",""
"krakal","krakal","","",""
"krakalan","krakalan","","",""
"krakas","krakas","","",""
"krakau","krakau","","",""
"krake","krake","","",""
"krakebo","krakebo","","",""
"krakeel","krakeel","","",""
"krakenas","krakenas","","",""
"krakeryd","krakeryd","","",""
"krakes","krakes","","",""
"kraketorp","kraketorp","","",""
"krakitan","krakitan","","",""
"krakiu","krakiu","","",""
"kraklund","kraklund","","",""
"krakov","krakov","","",""
"krakovany","krakovany","","",""
"krakovec","krakovec","","",""
"krakovo","krakovo","","",""
"krakow","krakow","","",""
"krakra","krakra","","",""
"kraksan","kraksan","","",""
"krakshult","krakshult","","",""
"krakstad","krakstad","","",""
"kralanh","kralanh","","",""
"kralendijk","kralendijk","","",""
"kralevo","kralevo","","",""
"kralice","kralice","","",""
"kralici","kralici","","",""
"kraliky","kraliky","","",""
"kralitz","kralitz","","",""
"kralje","kralje","","",""
"kraljevac","kraljevac","","",""
"kraljevci","kraljevci","","",""
"kraljevec","kraljevec","","",""
"kraljevec na sutli","kraljevec na sutli","","",""
"kraljevici","kraljevici","","",""
"kraljevo","kraljevo","","",""
"kralji","kralji","","",""
"kraljici","kraljici","","",""
"kralova","kralova","","",""
"kralova lhota","kralova lhota","","",""
"kralovce","kralovce","","",""
"kralovec","kralovec","","",""
"kralovice","kralovice","","",""
"kram","kram","","",""
"kramarka","kramarka","","",""
"kramarzewo","kramarzewo","","",""
"kramasan","kramasan","","",""
"kramat","kramat","","",""
"kramat 1","kramat 1","","",""
"kramat 2","kramat 2","","",""
"kramat dua","kramat dua","","",""
"kramat kulon","kramat kulon","","",""
"kramat lor","kramat lor","","",""
"kramatan","kramatan","","",""
"kramatjati","kramatjati","","",""
"krambilegi","krambilegi","","",""
"kramen","kramen","","",""
"kramer","kramer","","",""
"kramersdorf","kramersdorf","","",""
"krammersdorf","krammersdorf","","",""
"kramolin","kramolin","","",""
"kran","kran","","",""
"krana","krana","","",""
"krandang","krandang","","",""
"krandegan","krandegan","","",""
"kranding","kranding","","",""
"krandon","krandon","","",""
"kranea","kranea","","",""
"kranenburg","kranenburg","","",""
"krang leav","krang leav","","",""
"krang lovea","krang lovea","","",""
"krangan","krangan","","",""
"krangen","krangen","","",""
"kranggan","kranggan","","",""
"kranginan","kranginan","","",""
"krangkeng","krangkeng","","",""
"krangkong","krangkong","","",""
"krangkungan","krangkungan","","",""
"krani","krani","","",""
"krania","krania","","",""
"kranies","kranies","","",""
"kranji","kranji","","",""
"kranokholmskiy","kranokholmskiy","","",""
"kranokhori","kranokhori","","",""
"kranokhorion","kranokhorion","","",""
"kranon","kranon","","",""
"kransberg","kransberg","","",""
"kranskop","kranskop","","",""
"kranz","kranz","","",""
"krapa","krapa","","",""
"krapak","krapak","","",""
"krapay kala","krapay kala","","",""
"krapets","krapets","","",""
"krapi","krapi","","",""
"krapina","krapina","","",""
"krapivenka","krapivenka","","",""
"krapivinka","krapivinka","","",""
"krapivino","krapivino","","",""
"krapivka","krapivka","","",""
"krapivki","krapivki","","",""
"krapivna","krapivna","","",""
"krapivnaya","krapivnaya","","",""
"krapivnik","krapivnik","","",""
"krapivno","krapivno","","",""
"krapivnoye","krapivnoye","","",""
"krapivnya","krapivnya","","",""
"krapivye","krapivye","","",""
"krapjak","krapjak","","",""
"krapje","krapje","","",""
"kraplewo","kraplewo","","",""
"krapotkin","krapotkin","","",""
"krapsi","krapsi","","",""
"krapyak","krapyak","","",""
"krapyak kidul","krapyak kidul","","",""
"krarup","krarup","","",""
"kras","kras","","",""
"krasa","krasa","","",""
"krasak","krasak","","",""
"krasak kidul","krasak kidul","","",""
"krasak lor","krasak lor","","",""
"krasakan","krasakan","","",""
"krasang","krasang","","",""
"krasava","krasava","","",""
"krasavino","krasavino","","",""
"krasavitsa","krasavitsa","","",""
"krasavka","krasavka","","",""
"krasavskiy","krasavskiy","","",""
"krasci","krasci","","",""
"krase","krase","","",""
"krasen","krasen","","",""
"krasenskiy","krasenskiy","","",""
"krasevo","krasevo","","",""
"krashovo","krashovo","","",""
"krasi","krasi","","",""
"krasica","krasica","","",""
"krasice","krasice","","",""
"krasici","krasici","","",""
"krasiki","krasiki","","",""
"krasikova","krasikova","","",""
"krasikovo","krasikovo","","",""
"krasilniki","krasilniki","","",""
"krasilnikova","krasilnikova","","",""
"krasilnikovo","krasilnikovo","","",""
"krasilov","krasilov","","",""
"krasilovka","krasilovka","","",""
"krasin","krasin","","",""
"krasina","krasina","","",""
"krasinka","krasinka","","",""
"krasino","krasino","","",""
"krasinskiy","krasinskiy","","",""
"krasinskoye","krasinskoye","","",""
"krasitskiy","krasitskiy","","",""
"krasivka","krasivka","","",""
"krasivoye","krasivoye","","",""
"krasivyy","krasivyy","","",""
"kraska","kraska","","",""
"kraski","kraski","","",""
"kraskovo","kraskovo","","",""
"kraskow","kraskow","","",""
"krasna","krasna","","",""
"krasna hora","krasna hora","","",""
"krasna lipa","krasna lipa","","",""
"krasna ves","krasna ves","","",""
"krasnaya","krasnaya","","",""
"krasnaya armiya","krasnaya armiya","","",""
"krasnaya balka","krasnaya balka","","",""
"krasnaya bereza","krasnaya bereza","","",""
"krasnaya buda","krasnaya buda","","",""
"krasnaya dacha","krasnaya dacha","","",""
"krasnaya derevnya","krasnaya derevnya","","",""
"krasnaya dolina","krasnaya dolina","","",""
"krasnaya dubrava","krasnaya dubrava","","",""
"krasnaya dubrova","krasnaya dubrova","","",""
"krasnaya dubrovka","krasnaya dubrovka","","",""
"krasnaya glina","krasnaya glina","","",""
"krasnaya glinka","krasnaya glinka","","",""
"krasnaya gora","krasnaya gora","","",""
"krasnaya gorka","krasnaya gorka","","",""
"krasnaya griva","krasnaya griva","","",""
"krasnaya kamenka","krasnaya kamenka","","",""
"krasnaya kurya","krasnaya kurya","","",""
"krasnaya luka","krasnaya luka","","",""
"krasnaya moskva","krasnaya moskva","","",""
"krasnaya niva","krasnaya niva","","",""
"krasnaya nov","krasnaya nov","","",""
"krasnaya pad","krasnaya pad","","",""
"krasnaya pechora","krasnaya pechora","","",""
"krasnaya polyana","krasnaya polyana","","",""
"krasnaya presnya","krasnaya presnya","","",""
"krasnaya rechka","krasnaya rechka","","",""
"krasnaya roshcha","krasnaya roshcha","","",""
"krasnaya sibir","krasnaya sibir","","",""
"krasnaya sloboda","krasnaya sloboda","","",""
"krasnaya slobodka","krasnaya slobodka","","",""
"krasnaya sludka","krasnaya sludka","","",""
"kislov","kislov","","",""
"kislova","kislova","","",""
"kilolo sangwe","kilolo sangwe","","",""
"kiloma","kiloma","","",""
"kilomba","kilomba","","",""
"kilombo","kilombo","","",""
"kilomboi","kilomboi","","",""
"kilombwe","kilombwe","","",""
"kilombwe kahungwa","kilombwe kahungwa","","",""
"kilometer 8","kilometer 8","","",""
"kilometro 10","kilometro 10","","",""
"kilometro 100","kilometro 100","","",""
"kilometro 13","kilometro 13","","",""
"kilometro 132","kilometro 132","","",""
"kilometro 16","kilometro 16","","",""
"kilometro 18","kilometro 18","","",""
"kilometro 20","kilometro 20","","",""
"kilometro 26","kilometro 26","","",""
"kilometro 5","kilometro 5","","",""
"kilometro 7","kilometro 7","","",""
"kilometro 71","kilometro 71","","",""
"kilometro 8","kilometro 8","","",""
"kilometro 96","kilometro 96","","",""
"kilometro 99","kilometro 99","","",""
"kilometro catorce","kilometro catorce","","",""
"kilometro cinco","kilometro cinco","","",""
"kilometro cuarenta y dos","kilometro cuarenta y dos","","",""
"kilometro cuarenta y ocho","kilometro cuarenta y ocho","","",""
"kilometro cuarenta y uno","kilometro cuarenta y uno","","",""
"kilometro dieciocho","kilometro dieciocho","","",""
"kilometro dieciseis","kilometro dieciseis","","",""
"kilometro diez","kilometro diez","","",""
"kilometro doce","kilometro doce","","",""
"kilometro nueve","kilometro nueve","","",""
"kilometro ochenta y dos","kilometro ochenta y dos","","",""
"kilometro ocho","kilometro ocho","","",""
"kilometro once","kilometro once","","",""
"kilometro seis","kilometro seis","","",""
"kilometro siete","kilometro siete","","",""
"kilometro trece","kilometro trece","","",""
"kilometro treinta y tres","kilometro treinta y tres","","",""
"kilometro veinte","kilometro veinte","","",""
"kilometro veintidos","kilometro veintidos","","",""
"kilometro veintiseis","kilometro veintiseis","","",""
"kilomines","kilomines","","",""
"kilomo","kilomo","","",""
"kilomo diata","kilomo diata","","",""
"kilomuana","kilomuana","","",""
"kilomwele","kilomwele","","",""
"kilonda","kilonda","","",""
"kilongalonga","kilongalonga","","",""
"kilonge","kilonge","","",""
"kilongo","kilongo","","",""
"kilongozi","kilongozi","","",""
"kilongwe","kilongwe","","",""
"kilor","kilor","","",""
"kilosa","kilosa","","",""
"kilota","kilota","","",""
"kilovka","kilovka","","",""
"kiloza","kiloza","","",""
"kilpatrick","kilpatrick","","",""
"kilpin","kilpin","","",""
"kilris","kilris","","",""
"kilrush","kilrush","","",""
"kilsali","kilsali","","",""
"kilsangdong","kilsangdong","","",""
"kilsangni","kilsangni","","",""
"kil'syali","kil'syali","","",""
"kilsyth","kilsyth","","",""
"kiltepe","kiltepe","","",""
"kiltiernan","kiltiernan","","",""
"kiltong","kiltong","","",""
"kiltoom","kiltoom","","",""
"kiltsi","kiltsi","","",""
"k'ilt'u","k'ilt'u","","",""
"kiluaka","kiluaka","","",""
"kiluan","kiluan","","",""
"kiluania","kiluania","","",""
"kiluba","kiluba","","",""
"kilubi","kilubi","","",""
"kilubi-kibongo","kilubi-kibongo","","",""
"kilubula","kilubula","","",""
"kilubulushi","kilubulushi","","",""
"kilue","kilue","","",""
"kiluka","kiluka","","",""
